10/12/23 11:15:11:831 | [INFO] |  |  |  | OOBELib |  |  | 9904 | __OOBELIB_LOG_FILE__
10/12/23 11:15:11:832 | [INFO] |  |  |  | OOBELib |  |  | 9904 | *************OOBELib Session Starts*************
10/12/23 11:15:11:832 | [INFO] |  |  |  | OOBELib |  |  | 9904 | Version 10.0.0.294,7.0

10/12/23 11:15:11:832 | [INFO] |  |  |  | PCDService |  |  | 9904 | PCD Service in non-threaded mode
10/12/23 11:15:11:848 | [INFO] |  |  |  | DispatchClientLib |  |  | 9904 | Dispatch table loaded from path: C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\LCC\dispatchtable.xml 
10/12/23 11:15:11:881 | [INFO] |  |  |  | DispatchClientLib |  |  | 9904 | (re)load Local Dispatch Table status-[0].
10/12/23 11:15:11:893 | [INFO] |  |  |  | DispatchClientLib |  |  | 9904 | Scope : [2]
10/12/23 11:15:11:908 | [INFO] |  |  |  | DispatchClientLib |  |  | 9904 | Setting scope to GM
10/12/23 11:15:12:362 | [ERROR] |  |  |  | OPMWrapper |  |  | 9904 | Failed in getting value for key in OPMGetValueForKey
10/12/23 11:15:12:363 | [INFO] |  |  |  | OOBELib |  |  | 9904 | Failed to get Proxy username in OPM DB
10/12/23 11:15:12:363 | [INFO] |  |  |  | AXFBLicensing |  |  | 9904 | Failed to load axlibv7.dll, trying again
10/12/23 11:15:12:364 | [INFO] |  |  |  | AXFBLicensing |  |  | 9904 | Failed to load axlibv7.dll, trying again with axlib in ACF
10/12/23 11:15:12:378 | [INFO] |  |  |  | AXFBLicensing |  |  | 9904 | All function pointers successfully retrieved
10/12/23 11:15:12:378 | [INFO] |  |  |  | SLCoreService |  |  | 9904 | Starting up SLCore 2.0 Release (build 2.0.1.360321).
10/12/23 11:15:12:378 | [ERROR] |  |  |  | SLCoreService |  |  | 9904 | user based licensing: 0
10/12/23 11:15:12:379 | [INFO] |  |  |  | SLCoreService |  |  | 9904 | Service construction took 0.5 ms and succeed.
10/12/23 11:15:12:379 | [INFO] |  |  |  | SLCoreServiceWrapper |  |  | 9904 | Returning SLCoreServiceWrapper Initialize, Ref Count 1
10/12/23 11:15:12:398 | [INFO] |  |  |  | AnalyticsClientLib |  |  | 9904 | Creating Log Instance of type 0
